IP,Timestamp,HTTP_Method,Request_Path,HTTP_Status,Response_Size,Referer,User_Agent,Server_IP
access.log:10.90.175.27,09/Aug/2023:23:44:28 +0800,POST,/gmp/mm/supplychainmanager/bureauCodeDict/saveList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:29 +0800,POST,/gmp/mm/supplychainmanager/carrierInfo/deleteCarrierInfo,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:29 +0800,POST,/gmp/mm/supplychainmanager/carrierInfo/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:31 +0800,POST,/gmp/mm/supplychainmanager/change/insertList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:31 +0800,POST,/gmp/mm/supplychainmanager/change/loadById/,400,435,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:31 +0800,POST,/gmp/mm/supplychainmanager/change/queryChangeListCount,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:31 +0800,POST,/gmp/mm/supplychainmanager/change/queryPartChangeVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:31 +0800,POST,/gmp/mm/supplychainmanager/change/syncConfirmChange,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:31 +0800,POST,/gmp/mm/supplychainmanager/change/update,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:32 +0800,POST,/gmp/mm/supplychainmanager/change/updateVONotEmptyColumn,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
